Platform,Cloudflare Pages,Vercel,Netlify,AWS Amplify,Firebase Hosting,Azure Static Web Apps,Render,GitHub Pages,GitLab Pages,Surge.sh
Company,Cloudflare Inc.,Vercel Inc.,Netlify Inc.,Amazon Web Services,Google,Microsoft Azure,Render Services Inc.,GitHub (Microsoft),GitLab Inc.,Surge.sh (Chloi Inc.)
Launch Year,2021,2015 (ZEIT),2014,2017,2012,2020,2019,2008,2016,2015
Platform Type,JAMstack Hosting,JAMstack & Edge Hosting,JAMstack Hosting,Full-Stack Cloud Platform,Static & Dynamic Hosting,Static & Serverless Platform,Cloud Application Platform,Static Site Hosting,Static Site Hosting,CLI-First Static Hosting
Primary Focus,Static Sites & Edge Functions,Next.js & Full-Stack Apps,Static Sites & Serverless,JAMstack & Static Sites,Web Apps & Static Sites,Modern Web Apps,Web Services & Static Sites,Documentation & Project Sites,Project Documentation,Quick Static Deploys

,,,,,,,,
FREE TIER LIMITS,,,,,,,,,
Bandwidth,UNLIMITED,100 GB/month,100 GB/month,15 GB/month,10 GB/month,100 GB/month,100 GB/month,100 GB/month (soft),10 GB/month,UNLIMITED
Requests,10,000,000/month,1,000,000/month,UNLIMITED,500,000/month,UNLIMITED,UNLIMITED,UNLIMITED,UNLIMITED,UNLIMITED
Build Minutes,500/month,INCLUDED (no limit),300/month,1,000/month,N/A,INCLUDED,400/month,2,000/month,400/month,N/A
Sites/Projects,UNLIMITED,UNLIMITED,UNLIMITED,UNLIMITED,MULTIPLE per project,10 apps,UNLIMITED,1 per repo/user/org,UNLIMITED,UNLIMITED
Custom Domains,UNLIMITED,UNLIMITED,UNLIMITED,UNLIMITED,UNLIMITED,2 per app,UNLIMITED,1 per site,UNLIMITED,UNLIMITED
SSL Certificates,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
Analytics,INCLUDED (FREE),BASIC,FREE ($9/month),PAID,INCLUDED (FREE),PAID,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED

,,,,,,,,
INFRASTRUCTURE,,,,,,,,,
Edge Locations,300+,100+,~6,450+,200+,170+,Global CDN,30+,200+,?
CDN Network,Cloudflare CDN,Cloudflare CDN,Custom CDN,CloudFront CDN,Google CDN,Azure CDN,Fastly CDN,Fastly CDN,Cloudflare CDN,?
Average Latency,<50ms,~70ms,~90ms,~60ms,~70ms,~75ms,~80ms,~100ms,~90ms,~120ms
DDoS Protection,ADVANCED,STANDARD,BASIC,AWS Shield Standard,STANDARD,STANDARD,BASIC,BASIC,BASIC,BASIC
HTTP/3,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,NOT SUPPORTED,ENABLED,NOT SUPPORTED
Brotli Compression,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO

,,,,,,,,
BUILD & DEPLOYMENT,,,,,,,,,
Build Environment,V8 Isolate-based,Container-based,Ubuntu-based,EC2-based,Local or CI/CD,GitHub Actions/Azure DevOps,GitHub Actions/Azure DevOps,GitHub Actions,GitLab CI/CD,LOCAL ONLY
Build Time Limit,20 min,45 min,15 min (free),30 min,60 min,60 min,15 min (free),10 min (Pages),60 min (free),N/A
Concurrent Builds,1 (free),12+ (paid),3+ (paid),UNLIMITED,UNLIMITED,UNLIMITED,UNLIMITED,20 (free),4+ (paid),N/A
Build Cache,AUTOMATIC,AUTOMATIC,AUTOMATIC,AUTOMATIC,LOCAL,AUTOMATIC,AUTOMATIC,MANUAL,AUTOMATIC,LOCAL
Node Versions,12.x-20.x,12.x-20.x,12.x-20.x,12.x-20.x,Any (local),12.x-20.x,12.x-20.x,2.7.x (Jekyll),12.x-20.x,Any (local)

,,,,,,,,
GIT INTEGRATION,,,,,,,,,
GitHub,✅,✅,✅,✅,✅,✅,✅,✅,❌,❌
GitLab,✅,✅,✅,✅,Via Actions,✅,✅,❌,✅,❌
Bitbucket,❌,✅,✅,✅,❌,✅,❌,❌,❌,❌
Other Git,❌,❌,❌,❌,❌,✅,❌,❌,✅,❌

,,,,,,,,
FRAMEWORK SUPPORT,,,,,,,,,
